 Salud      Magia      Fuerza     Velocidad  Suerte    
 10         29         32          5         55
 10         25         28          5         23
 11         17         47          2         42
  7          0         14          4         81
  6         27         34          5         12
  9         26         18          4         53
 13         20         38          4         34
 17          4          8          2         77
 17         30         36          1         48
  6         17         48          2         31
  9         19         50          1          0
 12          0         23          4          6
  5         20         29          1         61
 13         17          9          3         76
 16          8         48          5         57
 12         14         50          2         23
  8         15         38          4          5
 19          8          5          1         51
 11         19         32          3         92
 14         10         44          5         60
  6          0         13          3         16
 10         21         40          3         73
  5         10         23          1         47
 15         13         30          5         90
 17          5         23          1         91
 11          3         36          4         31
 20         23          1          2         71
 13         23         22          1         80
 17         25         41          2         34
 18         12         38          5         17
  9          8         48          1         81
 20         29         18          4         59
 19         18          3          4         73
  9          7          9          4         97
 17         19         32          3         71
 20         14         32          3         14
 19         12         49          1         41
 19          1         11          4         11
 12          0         13          1         32
 20         24         37          3         32
 19         15         24          2         44
 12         14         23          2         33
 10         28         30          2          3
  7         28         26          4         99
 16         20         18          2         97
 15         30         50          2         56
 19         17         27          5         92
 14         21         32          5         39
  5         14         43          5          6
 17          9         14          4         49
 19         20          1          5         10
 15          0         10          4         14
 18         26          7          3         70
 20         11         10          3         12
 13         27         11          2         30
  8         24          6          2         90
 17         16         34          2         27
 19          5         25          5          4
 13         12         29          1         79
 20          7         31          3         75
  5         18         30          2         49
 19         17          9          1         99
 20         30          8          4         41
 11          8         24          1         28
  8         10         50          5         61
 15          0         35          1         92
 12          8         11          1         10
 13         15         18          2         25
  6         14         34          4          6
 13         13         49          1          4
  6         30         31          5         61
  5         29         19          4         68
 17          0          9          2         71
 15          8         32          4         30
  9         13         19          1         27
  9         10         33          5         97
 13         25         11          2         15
  7          6         46          1         17
 15          4         23          1         38
 14         16          6          4         28
 11         11         29          3         33
 13         12         48          2         56
  9         23          5          5         11
 17         10         22          1          8
 17         10          2          4         44
 19         27         20          2         62
  6         27         47          4         93
  6         26         10          4         70
 18          6         45          4          5
 17          8         29          5          7
 10         12          8          4         53
  6         19         25          2         76
 10         16         16          5         90
 11         22         38          1         97
 10          4          6          4         17
 19          9          9          1         46
 20         22         25          5         34
  8         10         37          4         55
 18         11         19          5          1
 13          7          8          4         65
 17         23         20          2         17
  8          2         29          2         47
  5         14         13          2          3
  8         10         40          3         75
  5         28         41          1         43
  6          0         48          4         21
 17          6         41          1         44
 18         22         36          2         73
 11         19         41          1         15
  7         13         41          5         59
  7          8         40          2         81
  6         16         34          4         18
  6         23         46          1         39
 20          6         29          4         82
  8         21         38          2         34
 19          6         12          5         18
  8         20         14          3         68
  6         12         44          1         55
 13          4         18          1         71
 14         11         42          2         11
  8          5         35          2         92
 20         22         23          2         14
 15         29          8          4         76
 19          6          9          5          5
 18          5         23          1         31
 18          9         44          4         69
  6         25         32          4          2
 12         13         29          3         41
  8         19          3          4         40
 19         16         39          2         20
 19          7          1          5         67
 10         21         35          5         24
  8         13         32          4         66
 12          4         28          1         17
 15         12         15          2         28
  7          5         36          5         95
 15          2         39          5         76
 20         23         20          1         75
  5          3          9          2         52
 19         23         47          3         74
 11          8         37          4         62
 11         27         24          2         50
  8          5         15          5         36
  9         22          8          4         84
 18         11         17          3         17
 10         10         20          4         24
 18          4         33          5         76
 13          6         44          2          8
 17         22         21          5         22
  8         18         29          4         99
  5         17         16          1         43
 19         27         32          5         73
 19          6         41          2         76
 10         23         38          2         11
 17          1         29          2         27
 11          6         48          1         50
  8          4         48          5         95
 17          1         50          4         39
 18         14          7          3         80
 17          4         24          5         81
  5         17         10          2         87
  9         30          2          1         94
  6         14          5          2         76
  8         10         12          3         72
 18          0         42          3         56
 19         20         11          3         91
  6         14         33          2         43
  5          4          6          4         49
 10         11         24          2         52
  7         17         15          5         70
  7         15         32          5         23
 17         17         32          3         35
  8         12         27          1          5
 11         19         40          2          1
  7         23         24          2         48
  6         14         38          4         79
  8          6         44          3         95
 20         26         48          3         12
 13          9         18          4         33
 10          5         48          1         49
 11         12         26          3         15
  5         23         17          2         85
 17         26          7          3         67
 17         14         25          2         37
 17         16          7          1          0
  8         18         19          2         42
 17         11          4          5         20
 16         27         23          5         54
 16         12         27          5         55
  9         22         31          3         54
 17         26         46          3         50
 19         16         40          5         13
 18          9         48          3          8
  7         28         34          5         25
 13         15          1          1          7
  6         22         41          2         24
 14         14         40          5         64
 16         11         40          4         37
  8         28         49          4         86
 19          6         31          1         69
 19          9         43          3         29
 16          5         35          5         88
  9         14         31          3         21
 20         13         43          2         17
 11         21         19          4          2
  7         21         11          5         90
 15         27         40          5         56
  8          1         48          5         98
  9         11          4          4         65
 19          5         36          1         70
  5          3         45          2         35
 20         24         12          1        100
 11          2          7          2         90
 10         23         21          3         18
  7          5         27          2         28
 10         18         13          2         35
  6         22         10          4         90
  6         29         24          3         58
  5          1         43          1         27
 10          8          5          2         17
 11         14         48          5         41
 10         16         42          5         60
  5         27         34          5         90
  9         21          1          5         52
 20         17         38          4         19
  7         23         32          2         61
 20         24          1          3         57
  9         25         48          5         12
 17         13          2          5         91
 17          9         15          2         27
 12         30         16          5         75
 10         13          5          3         91
  8          6         12          5         26
 10         13         25          2         19
 13          2          7          5         21
 19         27          3          3         78
  8          2          3          5         89
 20         11          8          3         80
 10         24          2          3         13
 17         16          4          4         50
  8          8         49          3         36
 18         27         11          2         16
 15         17         22          4         39
  5         28         22          1         30
  6          4          4          4         45
 20          1         37          3         68
 15         29         49          1         20
 17          2         23          2         49
 20         29          1          3         14
 20         24         25          4         81
 16         20         19          3          0
  9         22         50          3         66
 14          3         39          2         75
 20         29         42          3         20
  9         12         20          5         83
 14         30         38          5         32
  8         29         14          2         78
 13          0         29          4         63
 19         11         28          3          7
 12         21         33          3         13
 19         14         33          1         76
  9         11         34          1         97
 17         21         43          2         40
  5         14         21          3         73
 20         17         36          2         64
  9         20          6          3         79
 19          0         17          2        100
 18         13         23          4         40
  7         19          2          2         63
 12         18         43          5          8
 16          1         31          3         16
 18         18         25          5         11
 18         20         44          1         10
  8         22         40          3         36
 10         11         10          4         90
 14          6         31          1         59
 11         13         12          2         74
 16         19         27          4         44
  6          9         36          1          2
 12         10         45          1         22
  5         28         49          2         75
  5         22         18          3         80
  8         18         19          4         47
  6          3         12          4         61
 16         26         44          5         63
 16         23          9          3         42
 16         11         41          2         84
 13          5         14          2         47
  8         12         25          4         38
  7          4         45          5         94
  6         14         31          5         67
 16          1         25          5         14
 17         10         46          1         78
  7         23         43          3         50
 15         19         45          2         11
 20          8         33          4         42
  8         25         30          2         17
 10          9         22          1         16
  8         22         38          5         58
 20         26         35          4         71
  6          7         24          3         34
 19         17         12          3         50
 16         14          2          5         28
 18          0         36          2          1
 17         18         45          4         75
 15         15         32          4          4
 13         10         42          5          4
 16          7         46          5         99
  5         11          2          3         50
 19         27         23          3         43
 19         11         43          1          9
  7         12         19          4         52
  6         19         27          1         39
 20         29         34          4         43
 14         10         35          5         50
  5         23          2          1         29
 19          1         13          1         89
 17         10         23          1         99
 16         23          1          1         56
 17         11          9          5         51
 13         23         11          4         47
  6         15         30          4         98
  8         13          5          1         36
  7          4          3          3         71
 20         11         19          4         97
  8         27          9          4         37
 12         23         35          1         38
  6         12         38          2         35
 11          0         18          3         11
  9         20          4          3         99
 11          2         20          3         95
 11         16         22          2         21
 18          4         44          3         65
 19         26         29          5         70
  5          8          9          5         12
 13          9         11          1         50
  6          5         29          4         18
  7         20         34          5         91
 19         14         40          3         33
 17          4         29          3         56
 13         25         41          5         63
  6          6         14          1         89
 20          0         20          5         67
 11          9         17          4         69
 11          4         42          4         20
  5          7         19          1         53
 15         13          4          5         90
  7          5          6          3         64
 20          1          8          1          0
  7         30         38          5         77
 12          4         16          5         54
 17         20         38          3          5
 15         30         44          2         15
  8         29         24          2         45
  9         13         50          1         23
  9         18         36          3          9
 10          5         11          5         68
 12          1          7          1         12
  5         12         43          3         75
  8          8          6          4         44
  9         30         23          4         65
  7         15         39          3         98
 13          1         14          5         82
  5         30         32          1         48
  5         20         28          2         58
 15          1          4          1         53
 13         28         16          3         20
  7         21         45          1         97
 11          7         35          1         47
 18         20          5          4         65
 14         29         18          4         90
 19         17         36          4         45
 19         20         46          1         33
 16         27         48          3         54
 14          7          5          1          5
 12          6         16          3         45
 19         19         43          3         30
  9         28         12          4         53
 14         22         44          1         77
 20         13          9          1         11
 17         10          8          5         84
 20         10         27          3         54
  6         20         32          4         78
 10          9         44          3         25
 13         19          9          2         34
 15         28         43          1         37
 19         22         32          1         51
  7         12          7          1         72
 19          6         16          5         74
 18         15         47          3         41
 15          8         17          5         53
 11          1         25          2         53
 13         26         39          2         65
 12          5         42          1         31
 19         14         33          3         47
  5         26          8          2         85
 20          0         35          5         55
 20          2         38          2         63
  6          4         25          2         96
 14         21         20          1         41
 19         11         34          1         14
 19         24         16          4          1
  5         24         36          1         59
 15          8          5          5         56
  9          0         43          4          1
  9          7         26          4         85
 17         28         41          2         83
 16          4         46          5         53
 11         13         20          4         20
  5         21          5          1         89
 17         29         22          5         21
 17          0         36          5         58
 14         14         21          3         31
 20          9          5          5         15
 20          1         49          4         58
 20          0         31          3          9
 11          8         23          5         10
 11         10         32          5         69
 20         26         17          3         46
 17          6         21          5         76
 16         12         19          1         67
 17         13         33          3         33
  5         14         41          1         36
 10         12         31          4         59
 16          7         39          1         53
  8         19         35          3          6
 12         27          5          5         62
 14          3          1          3         34
 10          4         26          4         54
 13         27         38          3         14
 13         17         49          5         50
 10         15         31          2         15
  6          9         25          2         42
  7          7         43          1         41
 15          6         22          3         18
 11         27         16          5         58
 13         22         40          2         10
  5         21          3          3         53
  8         17         46          2         23
 17          6         34          5         89
 12         27          1          3          3
  6          0          2          5         58
 13          8         27          5          8
 14          9          2          5         34
 16          8         31          1         61
  8         19         46          3         48
 20         19         38          2         57
 13         15         17          2         37
 14         22         13          4         69
 12         17         20          2         93
 13         23         42          3         37
 13         16         37          5         91
 14          9         15          4         87
  8         21         37          4         27
 19         24         28          3         11
 20         28         34          4         58
 20         25         28          3         25
 10         25         27          4         62
  5         11         42          2         29
 14         30          6          1        100
 15          2         42          2         49
  6          5         15          1         12
 17         26         16          3         75
 11          2         13          2         43
  7         10         40          5         25
 10          8         44          4         44
  5         30         14          2         98
 18         20          3          5         88
  5         15         36          4         89
  8         25         33          1         41
  6          8         30          5         20
 12         20         20          4         71
  6         21         11          2         60
  8         10         49          1         73
 18          0         42          3         36
  9         25         27          4         21
 11         20          4          4         20
 16          8          7          4         49
 10         17         19          2          2
  9         30         38          3         48
 18         17         30          3         78
  9         29         41          4         19
 13         20         26          5         21
  8         13         10          1         25
 14          2         22          2         29
 12         29         47          4         96
 14          2         27          4        100
  6         23         38          5         80
  8         23         28          4         83
 20         21         21          1          2
 16          3         27          4         48
  5          7         34          1         70
 18         11          3          4         17
  7         22         19          1         19
 10         26         48          2         59
 17         27         22          3          5
 20          6         29          1         46
 17         17         39          1         54
 11         22         17          1         47
  9         14         10          4         84
  7         22         29          4         45
 11          3         26          5         20
 18         27         25          1         17
  7         17         50          4         77
  7          4         22          2         92
 11          0          3          3         87
  9         16          7          3         39
  6         11         11          3         10
 10         12         22          2         99
 15          1         29          2         99
 15         15          1          3         76
 18          1         25          3         67
 17         28         18          3         55
  8          7         19          2         21
 20          0         33          3         31
  7          3         43          4         98
 16          0         28          2         34
 17         13         38          3         88
 10         30         34          1         10
 12         26         46          1         35
 14         14         40          1         87
  7          5         38          1         39
  8          7         34          1         63
 19         29         43          3         39
 13         18          3          1         62
 17         27         25          4         77
  9          3         44          1         59
 13         30         48          1         23
 14         10          7          3         44
 11         26         19          1         34
 11         18         19          5         12
 20         17         13          2         99
 11         27          8          1         80
 18         12          2          1         48
 19          5         21          1         68
 13         27         10          3         27
  5         16         15          5          4
 12         19         22          4         58
  8         30         27          1         63
 10          7         48          2         92
 10          1         34          4         70
  8          9         43          2         63
 19         22         14          1         85
  6         21         33          5         99
 10         27         42          1         63
  6         18         27          2         59
 11          1         20          1         36
 20         12         45          3         32
  9         29         34          4         51
  7          8         43          4         37
 10          7         18          2         32
  8         11         23          5         17
  8         28         16          2         37
  7         11         20          5         12
  8         16         14          5          4
 14         14         38          1         30
 14         25         45          3         11
 17         26          7          5         12
 16         12         25          2         20
 11         21         24          2        100
  7          9         28          1         95
  5         21         37          3         77
 14         20          1          3         65
  7         13          3          2         70
 18          5         23          3         82
  8         23         30          1         76
  6         19          4          3         60
 19          4         17          3         15
 14         15         24          4         94
  8         13         17          4         73
 20          6         14          1         29
 13          6          6          3         65
 17         21          5          5          0
 20         23         35          2          8
  9          4          9          5         38
 16         15         46          3         16
 13         14         44          4         30
 15         27         41          4         60
 16          6         25          5         30
 14          5         30          5         67
  7         10         45          2          8
 14          9          2          4         93
 18          5         22          2         34
 11         16         36          3         16
 20         30         15          5         46
 17          7          8          4         26
  5          5          9          1         90
 19         23         45          3         62
  5          1         50          5         63
 10         26         22          4         54
 20         27          7          5         71
 19         23         26          4         20
 17          3         14          2         42
 13         21         17          1         89
  7         16         47          1         69
  9         27         47          4         27
  8         29         37          2          5
  9         18          6          2         68
  7          8         13          1         87
  8          0         26          5         29
 16         22         12          4         70
 17         11         25          1         33
 10          6          1          3         85
 11          3          4          1         41
 14         13         18          2        100
  5         25         25          3         24
 14         10         14          5         14
 11          8         44          2         12
  9          4         40          3         44
 17         28         25          5         19
 13         10          6          3         43
  5          7         37          5         85
 20         30         16          1         91
  7         29         10          5         49
  9         13         45          2         51
  7          3         10          2         21
 12         29         42          4         53
 15         19         38          2         37
 16          2         24          5         88
  8         12         29          4         19
  9         10         29          3         27
  8         21         21          3         32
  9          6         21          5         73
 19         25         29          5         15
 20         24         36          4         47
 10          7         43          4         68
  6         17         46          5         44
 14         15         45          2         81
 11         13         34          4         24
  5         10         48          4          8
 18         27         21          4         94
 18         15          5          3         50
 17          3         11          2         96
  5          2         23          2         14
  6          0         37          2         97
 11         16          6          4         70
  9         29         25          2         85
 10          6         39          2         71
  7         22          6          3         35
 13         16         11          1          4
  9         17         33          5         33
 14          3         45          2         90
  5         24         22          5         45
 20         21         25          3         23
 19         14          5          2          1
  7         25         13          2         79
  8          4          1          2         69
 15         19         28          3         31
  7         19         49          2         68
  6         18         15          4         69
 11         28         20          4         18
 16         16         36          5         72
 12         28         22          3         90
  5          3         31          4         83
 18         22         19          2         20
  5         13         48          5         14
  9          1         26          5         92
  8         19          7          3         23
 10          6         41          2          4
 13         27         37          3         33
 12         21          1          1         86
  7          0         43          5         97
 10          9          3          1         72
 11          5         13          5         77
  7          8         10          5         23
  6         28         45          2         99
  5         18         39          3         91
  5          1          8          1         97
 17         13         24          5         28
 13          7          6          2         99
 15          3         17          1         79
 12         25         38          3         49
 15         13          9          5         24
  6          4         27          2         57
 18         19         13          5         59
 12         18         45          4         27
 18         26         21          1         99
  8         24         28          4         46
  6         30          3          2         20
  6          0         41          4         72
 11          9         15          2         54
 18         19          9          5         53
 14         13         34          3         18
 20         11         41          3         54
 20          4         49          5         83
 15         18         17          3         37
 15          9          7          1         61
  9         18         45          2         96
  8          4         17          5         53
 16         16         25          5         64
  7         23          8          4         59
  6         28         28          1         24
 14          5         35          3         24
 13         17         31          4         19
 14          1         16          3          8
  5         19         29          5         48
 10         24         13          1         61
 13         12          4          3         30
  7         20          1          5         79
  5         26          7          2         83
 13          9         24          3         66
 16         17         38          4         45
 11          8         46          3         45
 18         24         31          1         49
  8         30          1          1         76
 19         15         20          5         59
 15          8         11          5        100
 14          6         44          5         54
 15         17         17          2         73
  8         10         29          3         53
 13         27         50          5         66
 20         13         42          2         27
  5          1         42          3         95
 12         19         36          1         44
  5         12         44          3         56
  7         15         23          4         32
 16         26          3          3         47
 15          9         22          3         27
 17          8         29          5         59
 20          9         12          3         76
 13         15         11          5         31
 10          6         36          3          3
 18          1         21          2         49
 12         21         48          3         90
 13         11         32          1         94
 15          4         23          3         22
 17          7         44          3         36
 10          8          2          2         17
  8         10          6          2          9
 11          0         39          3          7
 10         27         44          2         64
 13         12         46          5         90
  8          1          4          2         51
 16         14         14          1         93
 15         12          7          1         27
 11         18         11          3         96
 16         22          2          2         27
 11         29          1          4         21
 11          4         25          2         19
 16         24         34          3         20
 14         12          2          1         73
 17         22         36          5          7
 20         15         47          2         99
 14          7         15          5         29
 18          8         18          2         32
 14         23         24          3         68
 20         18         32          1         15
 15         15         26          4          7
 11          1          6          5         73
 20         14         48          5         72
  7          2         17          2         63
 11         12         48          5         89
